rX: 67.80	rY: -30.17	rZ: 179.03	yX: 56.63	 yY:-20.50	 yZ: 175.44	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 69.64	rY: -31.39	rZ: 181.82	yX: 56.93	 yY:-20.61	 yZ: 176.32	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 69.64	rY: -31.39	rZ: 181.82	yX: 56.03	 yY:-20.28	 yZ: 173.69	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.43	rY: -30.01	rZ: 178.12	yX: 56.33	 yY:-20.39	 yZ: 174.56	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.43	rY: -30.01	rZ: 178.12	yX: 56.93	 yY:-20.61	 yZ: 176.32	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.43	rY: -30.01	rZ: 178.12	yX: 56.63	 yY:-20.50	 yZ: 175.44	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.43	rY: -30.01	rZ: 178.12	yX: 56.33	 yY:-20.39	 yZ: 174.56	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 68.17	rY: -30.34	rZ: 179.95	yX: 56.03	 yY:-20.28	 yZ: 173.69	bX: 16.70	bY: -16.70	 bZ: 186.68
rX: 68.17	rY: -30.34	rZ: 179.95	yX: 57.32	 yY:-20.50	 yZ: 175.44	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 68.17	rY: -30.34	rZ: 179.95	yX: 56.42	 yY:-20.86	 yZ: 172.84	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 68.17	rY: -30.34	rZ: 179.95	yX: 56.63	 yY:-20.50	 yZ: 175.44	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 68.17	rY: -30.34	rZ: 179.95	yX: 57.15	 yY:-21.65	 yZ: 179.03	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 57.63	 yY:-21.31	 yZ: 176.32	bX: 16.79	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 56.33	 yY:-20.39	 yZ: 174.56	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 56.03	 yY:-20.28	 yZ: 173.69	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 56.33	 yY:-20.39	 yZ: 174.56	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 57.63	 yY:-21.31	 yZ: 176.32	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 57.24	 yY:-20.72	 yZ: 177.22	bX: 15.21	bY: -17.44	 bZ: 186.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 57.24	 yY:-20.72	 yZ: 177.22	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 56.63	 yY:-20.50	 yZ: 175.44	bX: 16.04	bY: -16.79	 bZ: 187.68
rX: 68.88	rY: -30.34	rZ: 179.95	yX: 56.72	 yY:-20.28	 yZ: 173.69	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 68.88	rY: -30.34	rZ: 179.95	yX: 56.63	 yY:-20.50	 yZ: 175.44	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 68.88	rY: -30.34	rZ: 179.95	yX: 56.33	 yY:-20.39	 yZ: 174.56	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 68.88	rY: -30.34	rZ: 179.95	yX: 56.72	 yY:-20.28	 yZ: 173.69	bX: 14.47	bY: -15.95	 bZ: 186.68
rX: 68.88	rY: -30.34	rZ: 179.95	yX: 56.72	 yY:-20.28	 yZ: 173.69	bX: 15.95	bY: -16.70	 bZ: 186.68
rX: 68.88	rY: -30.34	rZ: 179.95	yX: 56.33	 yY:-20.39	 yZ: 174.56	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 68.88	rY: -30.34	rZ: 179.95	yX: 56.33	 yY:-20.39	 yZ: 174.56	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 68.88	rY: -30.34	rZ: 179.95	yX: 56.33	 yY:-20.39	 yZ: 174.56	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 56.63	 yY:-20.50	 yZ: 175.44	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 56.03	 yY:-20.28	 yZ: 173.69	bX: 16.04	bY: -17.54	 bZ: 187.68
